EMDB ID,Resolution (Angstrom),FittedPDBs,PDBvolnoGMM,Multiplier,,PDBvol50,PDBvol100,PDBvol150,PDBvol200,EMvol50,EMvol100,EMvol150,EMvol200,PDBvol50wmult,PDBvol100wmult,PDBvol150wmult,PDBvol200wmult
emd_8518,6.1,5u8s,669797.318,1,5u8s,746713.38,745272.75,730424.25,725356.12,665132.88,629429.19,565667.75,530616.19,746713.38,745272.75,730424.25,725356.12
emd_8519,4.9,5u8t,692410.2833,1,5u8t,746154.62,751553.44,745861.12,737423.44,635497.25,585895.62,550527.94,520722.97,746154.62,751553.44,745861.12,737423.44
emd_8561,4.8,5ujz,293626.9011,1,5ujz,325664.47,326418.69,324615.38,322109.66,222062.41,191498.28,178819.19,165935.09,325664.47,326418.69,324615.38,322109.66
emd_8562,4.8,5uk0,294521.8885,1,5uk0,324693.5,325254.66,324996.38,322441.97,246952.86,218038.61,204414.64,192021.94,324693.5,325254.66,324996.38,322441.97
emd_8563,4.8,5uk1,291954.4581,1,5uk1,323071.72,323688.38,322178.31,319375.53,206989.59,181639.12,168906.31,163179.2,323071.72,323688.38,322178.31,319375.53
emd_8564,4.8,5uk2,293866.8406,1,5uk2,323345.09,327426.62,325876.72,323070.44,212575.84,192904.62,177801.7,170421.5,323345.09,327426.62,325876.72,323070.44
emd_8584,3.74,5up6,459776.3389,1,5up6,468578.88,466943.31,463640.16,459822.12,355773.44,345046.22,330934.25,315593.12,468578.88,466943.31,463640.16,459822.12
emd_8585,4.05,5upa,456543.1916,1,5upa,467358.12,462292.03,459448.25,454005.88,402837.41,389178.56,367638.66,347085.72,467358.12,462292.03,459448.25,454005.88
emd_8586,4.38,5upc,458712.8777,1,5upc,472495.31,470497.09,463038.12,455330.25,375445.28,350471.44,320583.94,303009.88,472495.31,470497.09,463038.12,455330.25
emd_8608,3.96,5uvn,281003.9808,1,5uvn,306114.34,292257.66,279199.97,274334.47,250476.47,244497.12,238187.64,228700.23,306114.34,292257.66,279199.97,274334.47
emd_8624,3.4,5uz9,2092559.315,1,5uz9,484127.75,479888.69,471129.44,463986.25,336340.69,323565.31,310430.72,300072,484127.75,479888.69,471129.44,463986.25
emd_8653,4.1,5vai,151733.291,1,5vai,163213.81,158504.98,154411.77,152061.56,123815.3,109120.59,99723.84,95379.23,163213.81,158504.98,154411.77,152061.56
emd_8658,3.9,5vc7,389172.4915,1,5vc7,398309.81,401384.94,385852.81,369827.03,335034.34,304464.78,285279.94,255475.97,398309.81,401384.94,385852.81,369827.03
emd_8741,3.1,5vy3,8014535.068,1,5vy3,800046.81,811110.25,820615.94,817113.62,581285.31,569700.56,566720.88,561235.31,800046.81,811110.25,820615.94,817113.62
emd_8742,3.3,5vy4,8042893.346,1,5vy4,805165.5,812374.19,824305.38,821560,579405.06,568780.25,569598.31,567497.56,805165.5,812374.19,824305.38,821560
emd_8771,3.8,5w5y,774955.5746,1,5w5y,892291.38,893661.19,894642.56,880094.56,716755.31,692232.12,657830.81,638532.56,892291.38,893661.19,894642.56,880094.56
emd_8774,4.2,5w64,766573.9288,1,5w64,881794.38,884663.56,885790.31,872769.44,713076.19,675850.5,640283.88,602742.38,881794.38,884663.56,885790.31,872769.44
emd_8775,4.3,5w65,789285.9701,1,5w65,901417.94,909026.88,901756.56,893492.62,769250.62,748980.69,705013.19,677701.12,901417.94,909026.88,901756.56,893492.62
emd_8776,3.9,5w66,816267.1396,1,5w66,925254.31,930799.69,926906.06,917022.75,781120,746534.12,700198.69,663489.69,925254.31,930799.69,926906.06,917022.75
emd_6810,5,5y5x,310162.2272,1,5y5x,780500.38,689229.5,625566.75,572418.38,794347.31,761289.56,719903.81,673034.56,780500.38,689229.5,625566.75,572418.38
emd_6812,6.7,5y5z,309829.1159,1,5y5z,776888.44,689973.06,618523.31,554155.12,876934.5,841078.38,785164.25,715998.38,776888.44,689973.06,618523.31,554155.12
emd_6822,3.52,5yd1,155941.842,1,5yd1,151447.48,149171.97,146603.97,145373.53,127718.32,109258.63,102392.89,96434.13,151447.48,149171.97,146603.97,145373.53
emd_6830,3,5yi5,1361769.566,1,5yi5,677292.69,676845.81,678370.06,657110.31,499981.75,424143.81,367116.53,337019.06,677292.69,676845.81,678370.06,657110.31
emd_6879,4.31,5z3l,267155.6059,1,5z3l,332797.72,315642.28,301408.75,294207.62,230018.5,205190.34,189026.44,181066.33,332797.72,315642.28,301408.75,294207.62
emd_6880,3.62,5z3o,267117.9514,1,5z3o,317054.56,300032.28,287927.62,279776.78,244132.02,222634.73,208479.42,200443.81,317054.56,300032.28,287927.62,279776.78
emd_6882,4.31,5z3u,265907.0098,1,5z3u,322796.03,308778.19,294795.88,287167.72,187594.48,168832.62,158669.58,150422.31,322796.03,308778.19,294795.88,287167.72
emd_6883,4.22,5z3v,266024.9004,1,5z3v,320204.19,309112.81,295390.28,289138.34,209814.09,192862.58,181940.27,173275.44,320204.19,309112.81,295390.28,289138.34
emd_7046,4.3,6b40,281522.0537,1,6b40,302981.09,295013.91,284127.12,276365.38,212571.28,169089.88,150253.45,136828.8,302981.09,295013.91,284127.12,276365.38
emd_7049,3.5,6b45,367581.901,1,6b45,418715.38,411945.41,412143.34,403170.56,243967.33,224021.11,211761.53,199169.5,418715.38,411945.41,412143.34,403170.56
emd_7051,3.2,6b47,371946.5004,1,6b47,420873.44,418212.09,412110.53,403839.88,272741.38,258721.94,248699.25,240607.89,420873.44,418212.09,412110.53,403839.88
emd_7059,3.9,6b6h,609978.3471,1,6b6h,689229.5,680896.06,678610,675856.62,379834.41,350308.25,338982.34,321704.19,689229.5,680896.06,678610,675856.62
emd_7075,3.8,6bbj,343763.5743,1,6bbj,383365.94,376220.19,366280.91,361972.97,296953.38,247982.73,219587.83,215191.17,383365.94,376220.19,366280.91,361972.97
emd_7349,3.7,6c6s,478807.6358,1,6c6s,489141.53,485749.38,487243.06,481388.25,379916.66,363723.06,345698.94,331338.12,489141.53,485749.38,487243.06,481388.25
emd_7350,3.5,6c6t,465742.1561,1,6c6t,466221.06,471340,467040.81,462757.41,426902.16,426371.53,422173.53,418048.22,466221.06,471340,467040.81,462757.41
emd_7464,4,6ces,329028.5658,1,6ces,387644.25,386018.69,379976.88,372467.94,369047.41,363448.81,350841.72,342838.03,387644.25,386018.69,379976.88,372467.94
emd_7457,3.73,6cm9,314450.2318,1,6cm9,329250.75,330619.59,328435.5,324135,162093.55,148548.89,136372.39,126098.52,329250.75,330619.59,328435.5,324135
emd_7526,3.1,6cmx,170671.4747,1,6cmx,157446.34,157352.52,154206.64,152409.56,117120.15,107331.34,98135.59,95068.95,157446.34,157352.52,154206.64,152409.56
emd_7816,3.86,6d6t,304927.5761,1,6d6t,315053.69,313422.72,308361.69,306057.44,280507.91,261859.88,248506.38,240739.95,315053.69,313422.72,308361.69,306057.44
